user_id,date,note_text
u00,2013-03-25,drank hot chamomile tea in the afternoon. sat in the library all day studying and felt stationary. turned off all screens early to wind down. felt stressed about the upcoming midterm exams and homework.
u00,2013-04-03,drank hot chamomile tea in the afternoon. went for a long walk around campus and felt active. turned off all screens early to wind down. did vigorous running exercise to relieve exam stress.
u00,2013-03-26,drank hot chamomile tea in the afternoon. sat in the library all day studying and felt stationary. turned off all screens early to wind down. felt stressed about the upcoming midterm exams and homework.
u00,2013-03-26,drank hot chamomile tea in the afternoon. sat in the library all day studying and felt stationary. turned off all screens early to wind down. felt stressed about the upcoming midterm exams and homework.
u00,2013-03-27,drank hot chamomile tea in the afternoon. went for a long walk around campus and felt active. scrolled social media apps and stared at my phone screen in bed. did vigorous running exercise to relieve exam stress.
u00,2013-03-27,drank hot chamomile tea in the afternoon. went for a long walk around campus and felt active. scrolled social media apps and stared at my phone screen in bed. did vigorous running exercise to relieve exam stress.
u00,2013-03-28,drank hot chamomile tea in the afternoon. went for a long walk around campus and felt active. turned off all screens early to wind down. did vigorous running exercise to relieve exam stress.
u00,2013-03-28,drank hot chamomile tea in the afternoon. went for a long walk around campus and felt active. turned off all screens early to wind down. did vigorous running exercise to relieve exam stress.
u00,2013-03-29,drank hot chamomile tea in the afternoon. went for a long walk around campus and felt active. turned off all screens early to wind down. did vigorous running exercise to relieve exam stress.
u00,2013-03-29,drank hot chamomile tea in the afternoon. went for a long walk around campus and felt active. turned off all screens early to wind down. did vigorous running exercise to relieve exam stress.
u00,2013-03-29,drank hot chamomile tea in the afternoon. went for a long walk around campus and felt active. turned off all screens early to wind down. did vigorous running exercise to relieve exam stress.
u00,2013-03-29,drank hot chamomile tea in the afternoon. went for a long walk around campus and felt active. turned off all screens early to wind down. did vigorous running exercise to relieve exam stress.
u00,2013-03-31,drank hot chamomile tea in the afternoon. went for a long walk around campus and felt active. turned off all screens early to wind down. did vigorous running exercise to relieve exam stress.
u00,2013-04-01,drank hot chamomile tea in the afternoon. went for a long walk around campus and felt active. turned off all screens early to wind down. did vigorous running exercise to relieve exam stress.
u00,2013-04-04,drank hot chamomile tea in the afternoon. went for a long walk around campus and felt active. turned off all screens early to wind down. did vigorous running exercise to relieve exam stress.
u00,2013-04-05,drank hot chamomile tea in the afternoon. went for a long walk around campus and felt active. scrolled social media apps and stared at my phone screen in bed. did vigorous running exercise to relieve exam stress.
u00,2013-04-07,drank hot chamomile tea in the afternoon. went for a long walk around campus and felt active. turned off all screens early to wind down. did vigorous running exercise to relieve exam stress.
u00,2013-04-06,drank hot chamomile tea in the afternoon. went for a long walk around campus and felt active. turned off all screens early to wind down. did vigorous running exercise to relieve exam stress.
u00,2013-04-08,drank hot chamomile tea in the afternoon. went for a long walk around campus and felt active. scrolled social media apps and stared at my phone screen in bed. did vigorous running exercise to relieve exam stress.
u00,2013-04-08,drank hot chamomile tea in the afternoon. went for a long walk around campus and felt active. scrolled social media apps and stared at my phone screen in bed. did vigorous running exercise to relieve exam stress.
u00,2013-04-09,drank hot chamomile tea in the afternoon. went for a long walk around campus and felt active. turned off all screens early to wind down. did vigorous running exercise to relieve exam stress.
u00,2013-04-10,drank hot chamomile tea in the afternoon. went for a long walk around campus and felt active. turned off all screens early to wind down. did vigorous running exercise to relieve exam stress.
u00,2013-04-11,drank hot chamomile tea in the afternoon. went for a long walk around campus and felt active. turned off all screens early to wind down. did vigorous running exercise to relieve exam stress.
u00,2013-04-12,drank hot chamomile tea in the afternoon. went for a long walk around campus and felt active. turned off all screens early to wind down. did vigorous running exercise to relieve exam stress.
